DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
04/06/2018,43.00,HDB,41.10,43.00,40.60,2343110.00
01/06/2018,41.20,HDB,39.50,41.65,38.80,2692760.00
31/05/2018,39.00,HDB,36.20,39.10,36.20,1875240.00
30/05/2018,36.70,HDB,36.00,37.40,34.90,4462960.00
29/05/2018,35.05,HDB,34.00,35.05,33.45,3943980.00
28/05/2018,32.80,HDB,35.00,35.00,32.80,2696050.00
25/05/2018,35.25,HDB,35.50,35.70,34.30,2692400.00
24/05/2018,35.50,HDB,38.00,38.30,35.10,2368050.00
23/05/2018,37.70,HDB,39.00,39.30,36.80,959240.00
22/05/2018,39.00,HDB,40.20,40.60,38.25,1406120.00
21/05/2018,41.10,HDB,41.00,41.30,40.50,1746750.00
18/05/2018,40.55,HDB,40.90,41.45,40.20,1552940.00
17/05/2018,40.50,HDB,40.50,40.80,40.20,701400.00
16/05/2018,40.15,HDB,40.90,40.90,39.80,999600.00
15/05/2018,40.90,HDB,40.90,41.30,40.35,1347990.00
14/05/2018,40.50,HDB,41.50,42.00,40.30,550760.00
11/05/2018,41.40,HDB,40.00,41.40,39.10,819170.00
10/05/2018,40.00,HDB,42.90,42.90,40.00,961790.00
09/05/2018,42.90,HDB,43.00,43.10,42.00,525060.00
08/05/2018,43.20,HDB,43.50,43.50,42.90,1157790.00
07/05/2018,43.50,HDB,43.50,44.00,42.50,1601930.00
04/05/2018,43.00,HDB,44.00,44.00,42.80,646170.00
03/05/2018,43.50,HDB,41.50,43.50,41.05,2085150.00
02/05/2018,42.00,HDB,42.90,42.90,41.00,1017430.00
27/04/2018,42.80,HDB,42.00,43.05,41.80,1706640.00
26/04/2018,42.20,HDB,45.00,45.50,41.90,3073110.00
24/04/2018,45.00,HDB,46.00,46.40,43.35,3013200.00
23/04/2018,46.60,HDB,49.50,49.70,46.60,3902200.00
20/04/2018,50.10,HDB,49.00,50.10,48.70,1802740.00
19/04/2018,49.20,HDB,51.90,51.90,49.00,3452260.00
18/04/2018,51.80,HDB,50.90,52.40,50.60,4624790.00
17/04/2018,50.80,HDB,51.50,51.70,50.60,1678660.00
16/04/2018,51.00,HDB,50.00,51.30,49.20,2836140.00
13/04/2018,50.00,HDB,49.55,50.10,49.10,3033930.00
12/04/2018,49.10,HDB,49.50,49.90,49.00,2705590.00
11/04/2018,50.10,HDB,50.60,50.80,49.20,5630290.00
10/04/2018,50.60,HDB,49.00,50.60,49.00,9215650.00
09/04/2018,48.70,HDB,46.50,48.70,46.30,7770500.00
06/04/2018,46.45,HDB,46.45,46.50,46.10,2975100.00
05/04/2018,46.45,HDB,46.50,46.80,46.20,2804190.00
04/04/2018,46.50,HDB,45.90,46.60,45.60,5350390.00
03/04/2018,45.60,HDB,45.40,45.80,45.15,2115830.00
02/04/2018,45.60,HDB,46.00,46.10,45.50,2317540.00
30/03/2018,45.90,HDB,46.00,46.00,45.00,2358520.00
29/03/2018,46.00,HDB,45.50,46.30,45.45,3603320.00
28/03/2018,45.45,HDB,44.60,45.45,44.45,3904720.00
27/03/2018,44.80,HDB,43.70,44.95,43.70,4513810.00
26/03/2018,43.70,HDB,41.10,43.70,41.10,3490240.00
23/03/2018,42.00,HDB,42.00,42.20,40.90,2122680.00
22/03/2018,42.50,HDB,43.50,44.00,42.50,2881270.00
21/03/2018,43.50,HDB,44.00,44.20,43.15,2119630.00
20/03/2018,44.00,HDB,44.85,44.90,44.00,2666350.00
19/03/2018,45.20,HDB,44.80,45.35,44.30,4333110.00
16/03/2018,44.80,HDB,44.70,44.80,44.50,2863300.00
15/03/2018,44.50,HDB,44.00,44.60,44.00,4347760.00
14/03/2018,44.00,HDB,42.50,44.25,42.40,5974370.00
13/03/2018,42.30,HDB,42.50,42.50,42.05,1687940.00
12/03/2018,42.50,HDB,42.50,42.90,42.20,1427550.00
09/03/2018,42.50,HDB,42.10,43.40,41.90,1018640.00
08/03/2018,42.50,HDB,43.00,43.50,41.80,2182740.00
07/03/2018,42.50,HDB,43.20,43.90,42.20,1357460.00
06/03/2018,43.20,HDB,43.00,43.55,42.80,2479350.00
05/03/2018,43.00,HDB,43.60,43.70,42.90,2578830.00
02/03/2018,43.55,HDB,43.50,43.55,43.20,1808640.00
01/03/2018,43.95,HDB,43.30,44.00,43.20,2739770.00
28/02/2018,44.40,HDB,44.00,44.50,43.00,2241390.00
27/02/2018,44.50,HDB,44.50,44.60,42.80,1579540.00
26/02/2018,44.00,HDB,44.55,46.00,43.65,2378080.00
23/02/2018,44.55,HDB,45.00,46.50,44.35,2175420.00
22/02/2018,45.00,HDB,46.20,46.20,45.00,2243860.00
21/02/2018,46.70,HDB,46.90,47.10,45.50,3263200.00
13/02/2018,46.60,HDB,46.95,46.95,45.50,5066980.00
12/02/2018,46.50,HDB,44.70,47.00,44.65,3436010.00
09/02/2018,44.60,HDB,43.80,44.70,42.10,3454800.00
08/02/2018,44.90,HDB,43.85,45.85,43.50,4667920.00
07/02/2018,43.85,HDB,42.40,43.85,42.30,4238270.00
06/02/2018,41.00,HDB,40.00,41.30,40.00,3906020.00
05/02/2018,43.00,HDB,45.20,45.60,42.80,3353170.00
02/02/2018,46.00,HDB,46.00,46.00,45.30,4567580.00
01/02/2018,46.00,HDB,46.60,46.70,45.80,3428660.00
31/01/2018,46.60,HDB,46.90,46.90,46.00,5581950.00
30/01/2018,47.00,HDB,47.05,47.05,45.70,6121930.00
29/01/2018,47.05,HDB,47.10,47.50,46.30,6592140.00
26/01/2018,47.00,HDB,47.80,48.10,46.30,5637470.00
25/01/2018,47.80,HDB,45.50,48.30,45.00,10284390.00
22/01/2018,45.30,HDB,44.80,45.40,44.30,4402360.00
19/01/2018,45.20,HDB,44.50,46.10,44.50,6728810.00
18/01/2018,44.00,HDB,42.60,44.00,41.70,5371340.00
17/01/2018,42.70,HDB,44.90,44.95,42.70,5794700.00
16/01/2018,44.95,HDB,44.60,45.20,44.45,6271100.00
15/01/2018,45.50,HDB,45.50,45.70,44.00,6559820.00
12/01/2018,45.45,HDB,42.60,45.45,42.60,18714750.00
11/01/2018,42.50,HDB,40.40,42.50,40.30,9874500.00
10/01/2018,40.30,HDB,39.20,40.30,39.10,8726070.00
09/01/2018,39.75,HDB,39.70,39.80,38.90,4537340.00
08/01/2018,39.70,HDB,40.00,40.00,39.60,3321420.00
05/01/2018,39.60,HDB,39.00,39.60,36.50,32205910.00
